ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"195035732206000140","195","035","732206","00","0140",SM,SRA,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",126.00,126.00,R CAMPO DE PIRATININGA,"99",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"111151209821000066","111","151","209821","00","0066",EM,PRA,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",74.00,75.00,R DAS BROMELIAS,"99",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"148132207705010000","148","132","207705","01","0000",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,250.00,R JOAO BATISTA LIMA,"92",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"147051754331000228","147","051","754331","00","0228",IQ,CLD,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,150.00,AV DOS LATINOS,"910",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"058030252085000131","058","030","252085","00","0131",PE,PEN,"1",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",69.00,72.00,TV GASPAR ANDRE,"95",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"149086632511010000","149","086","632511","01","0000",SM,SMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,350.00,R JOSE ROBERTO PEREIRA,"94",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"147051754331000227","147","051","754331","00","0227",IQ,CLD,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",200.00,150.00,AV DOS LATINOS 914 E 918,"914",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"139273278386010000","139","273","278386","01","0000",MP,SMI,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,250.00,AV S JOSE DO CEDRO,"9",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"145042701661070000","145","042","701661","07","0000",IQ,CLD,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,466.00,R SEBASTIAO MIGUEL DA SILVA,"85",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"145067739944020000","145","067","739944","02","0000",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,350.00,R ANTAO LEME DA SILVA,"294",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"140099640085010000","140","099","640085","01","0000",IQ,ITQ,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",0.00,404.00,R FLOR DO CEU,"50",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"134117082988010000","134","117","082988","01","0000",IT,IPA,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,300.00,R MORRO DA CAPOABA,"432",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"149246001597010000","149","246","001597","01","0000",SM,SMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,490.00,R ADAO LORENZINI,"263",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"112346071617010000","112","346","071617","01","0000",MP,SMI,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,318.00,R FIRMINO BARBOSA,"311",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"114093163740050000","114","093","163740","05","0000",IQ,ITQ,"1",S,S,ZEIS-5,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,500.00,R COLONIAL DAS MISSOES,"60",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"114093108162060000","114","093","108162","06","0000",IQ,ITQ,"1",S,S,ZEIS-5,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,600.00,R BAIXADA SANTISTA,"843",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"115109173614040000","115","109","173614","04","0000",IQ,JBO,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,250.00,R ENG ROMEU BELLUOMINI,"272",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"111362219690010000","111","362","219690","01","0000",EM,ERM,"1",S,S,ZM,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,326.00,R JOAO ANTONIO ANDRADE,"326",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"115160090425010000","115","160","090425","01","0000",GU,GUA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,500.00,R IGUATAMA,"333",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"147173068519020000","147","173","068519","02","0000",IQ,CLD,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,286.00,R OANANI 54 E 62,"54",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"192050021555010000","192","050","021555","01","0000",IT,IPA,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,7280.00,R AREIAS,"91",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"112396063622030000","112","396","063622","03","0000",MP,VJA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1000.00,R ELITA,"54",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"112645085219010000","112","645","085219","01","0000",IT,VCR,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,440.00,R GUIRAPA,"846",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"192014516090002085","192","014","516090","00","2085",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",77.00,143.00,R PAST JOAO GOMES PEREIRA,"294",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"192014516090002086","192","014","516090","00","2086",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",80.00,144.00,R PAST JOAO GOMES PEREIRA,"298",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"195035732206000142","195","035","732206","00","0142",SM,SRA,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",143.00,125.00,R CAMPO DE PIRATININGA,"337",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"195035732206000143","195","035","732206","00","0143",SM,SRA,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",160.00,125.00,R CAMPO DE PIRATININGA,"341",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232023364282000085","232","023","364282","00","0085",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",128.00,126.00,AV FRANCISCO TRANCHESI,"788",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232023364282000086","232","023","364282","00","0086",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",131.00,106.00,AV FRANCISCO TRANCHESI,"784",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232023364282000087","232","023","364282","00","0087",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",125.00,101.00,AV FRANCISCO TRANCHESI,"780",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232023364282000088","232","023","364282","00","0088",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",125.00,101.00,AV FRANCISCO TRANCHESI,"774",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232023364282000089","232","023","364282","00","0089",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,119.00,AV FRANCISCO TRANCHESI,"768",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232032292990000059","232","032","292990","00","0059",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",168.00,156.00,R JARDEL FILHO,"79",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"232032292990000060","232","032","292990","00","0060",IQ,PQC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",165.00,150.00,R JARDEL FILHO,"79",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
